city,state_id,state_name,county_fips,county_name,latt,long,population,density,timezone,ranking,zips,loc_id
Isla Vista,CA,California,06083,Santa Barbara,34.4128,-119.8614,13717,9607.9,America/Los_Angeles,2,93117,201303
Passaic,NJ,New Jersey,34031,Passaic,40.8574,-74.1282,69651,8583.8,America/New_York,2,07055,444606
Langley Park,MD,Maryland,24033,Prince George's,38.9897,-76.9808,22057,8565.9,America/New_York,2,20783 20903,400053
Queens,NY,New York,36081,Queens,40.7498,-73.7976,2405464,8503.7,America/New_York,1,11385 11109 11102 11103 11106 11104 11379 11378 11377 11697 11694 11692 11693 11691 11451 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 11429 11439 11432 11433 11430 11436 11434 11435 11375 11374 11371 11370 11373 11372 11411 11412 11413 11414 11415 11416 11417 11418 11419 11101 11105 11001 11005 11004 11428 11421 11420 11423 11422 11424 11427 11426 11359 11358 11357 11356 11355 11354 11120 11351 11352 11380 11386 11405 11425 11431 11437 11499 11690 11695,515801
Sunny Isles Beach,FL,Florida,12086,Miami-Dade,25.9385,-80.1246,22125,8453.1,America/New_York,2,33160,302020
Maywood,CA,California,06037,Los Angeles,33.9886,-118.1877,24593,8103.8,America/Los_Angeles,2,90270,110074
Silver Lake,NJ,New Jersey,34013,Essex,40.7804,-74.1829,4034,7979.2,America/New_York,2,07109 07003,122004
Walnut Park,CA,California,06037,Los Angeles,33.9682,-118.222,15446,7957.9,America/Los_Angeles,2,90255,560017
Friendship Heights Village,MD,Maryland,24031,Montgomery,38.9633,-77.0898,3991,7695,America/New_York,2,20815,620018
Jersey City,NJ,New Jersey,34017,Hudson,40.7184,-74.0686,289691,7584.1,America/New_York,2,07310 07311 07302 07307 07306 07305 07304 07097 07303 07308 07395 07399,560040
Somerville,MA,Massachusetts,25017,Middlesex,42.3908,-71.1014,80549,7548,America/New_York,2,02144 02145 02143,500072
Cudahy,CA,California,06037,Los Angeles,33.9631,-118.183,22325,7328.2,America/Los_Angeles,2,90201 90096,411044
East Lansdowne,PA,Pennsylvania,42045,Delaware,39.944,-75.2608,2699,7278,America/New_York,2,19050,784001
Central Falls,RI,Rhode Island,44007,Providence,41.8901,-71.3934,22481,7269.7,America/New_York,2,02863,834002
Paterson,NJ,New Jersey,34031,Passaic,40.9147,-74.1624,157660,7235.4,America/New_York,2,07522 07524 07514 07513 07505 07501 07504 07503 07502 07507 07509 07510 07533 07543 07544,495001
West Hollywood,CA,California,06037,Los Angeles,34.0883,-118.3719,35090,7177.6,America/Los_Angeles,2,90069 90046 90048,411052
Westmont,CA,California,06037,Los Angeles,33.9417,-118.3018,34291,7167.8,America/Los_Angeles,2,90044 90047,560037
Lennox,CA,California,06037,Los Angeles,33.938,-118.3586,20289,7164.3,America/Los_Angeles,2,90304,781003
Cambridge,MA,Massachusetts,25017,Middlesex,42.3759,-71.1185,117794,7109.8,America/New_York,2,02142 02140 02141 02139 02138 02238 02477,613704
San Francisco,CA,California,06075,San Francisco,37.7558,-122.4449,3364862,6916.7,America/Los_Angeles,1,94130 94131 94132 94133 94134 94103 94102 94105 94104 94188 94158 94124 94123 94122 94121 94129 94118 94108 94107 94112 94110 94116 94117 94114 94115 94111 94109 94127 94119 94120 94125 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177,226010
Huntington Park,CA,California,06037,Los Angeles,33.98,-118.2167,53658,6888.1,America/Los_Angeles,2,90255,530016
Chelsea,MA,Massachusetts,25025,Suffolk,42.3959,-71.0325,39460,6866.9,America/New_York,2,02150 02204,764001
Fairview,NJ,New Jersey,34003,Bergen,40.8182,-74.0022,14920,6828.1,America/New_York,2,07022,500028
East Orange,NJ,New Jersey,34013,Essex,40.7651,-74.2117,69183,6801,America/New_York,2,07018 07017 07019,226016
New Square,NY,New York,36087,Rockland,41.141,-74.0294,9712,6799.8,America/New_York,2,10977,600033
Florence-Graham,CA,California,06037,Los Angeles,33.9682,-118.2447,61723,6790.8,America/Los_Angeles,2,90001 90002,695011
East Rancho Dominguez,CA,California,06037,Los Angeles,33.8949,-118.1956,14219,6684.6,America/Los_Angeles,2,90221,201306
Caño Martin Peña,PR,Puerto Rico,72127,San Juan,18.4309,-66.0507,11508,6456.9,America/Puerto_Rico,2,00917 00915,482002
Mount Vernon,NY,New York,36119,Westchester,40.9136,-73.8291,72528,6375.8,America/New_York,2,10552 10553 10550 10551,400092
Spring Valley,NY,New York,36087,Rockland,41.1151,-74.0486,32995,6344,America/New_York,2,10952 10977,226017
Palisades Park,NJ,New Jersey,34003,Bergen,40.8472,-73.9966,20192,6292.6,America/New_York,2,07650,400076
Harrison,NJ,New Jersey,34017,Hudson,40.7431,-74.1531,19599,6247.9,America/New_York,2,07029,700014
Kaser,NY,New York,36087,Rockland,41.1214,-74.0684,5568,6246,America/New_York,2,10952,523001
Fort Lee,NJ,New Jersey,34003,Bergen,40.8509,-73.9713,39818,6106.4,America/New_York,2,07024,500017
Lawndale,CA,California,06037,Los Angeles,33.8884,-118.3531,31113,6091.2,America/Los_Angeles,2,90260,500062
Bell Gardens,CA,California,06037,Los Angeles,33.9663,-118.155,38661,6070.5,America/Los_Angeles,2,90201 90202 90205,271881
Long Beach,NY,New York,36059,Nassau,40.5887,-73.666,34741,6048.5,America/New_York,2,11561,753012
Garfield,NJ,New Jersey,34003,Bergen,40.8791,-74.1085,32502,5944.5,America/New_York,2,07026,421503
East Los Angeles,CA,California,06037,Los Angeles,34.0326,-118.1691,114617,5937.6,America/Los_Angeles,2,90063 90022 90023,797112
Great Neck Plaza,NY,New York,36059,Nassau,40.7869,-73.7262,7503,5918.8,America/New_York,2,11021,560047
Edgewater,NJ,New Jersey,34003,Bergen,40.8237,-73.974,14544,5782.8,America/New_York,2,07020,560076
Bellerose Terrace,NY,New York,36059,Nassau,40.7221,-73.7252,2180,5764.7,America/New_York,2,11001,506001
Waipahu,HI,Hawaii,15003,Honolulu,21.3859,-158.0101,39871,5748.4,Pacific/Honolulu,2,96797,328024
Aventura,FL,Florida,12086,Miami-Dade,25.9566,-80.1371,39372,5740.4,America/New_York,2,33160 33180 33163,781029
Manorhaven,NY,New York,36059,Nassau,40.8399,-73.7127,6934,5702.5,America/New_York,2,11050,560103
Hawaiian Gardens,CA,California,06037,Los Angeles,33.8304,-118.0728,13816,5643.9,America/Los_Angeles,2,90716,560023
Bay Harbor Islands,FL,Florida,12086,Miami-Dade,25.8877,-80.1334,5793,5642.9,America/New_York,2,33154,400607
Everett,MA,Massachusetts,25017,Middlesex,42.4064,-71.0545,49236,5563.9,America/New_York,2,02149,389151
Berwyn,IL,Illinois,17031,Cook,41.8433,-87.7909,55888,5526.6,America/Chicago,2,60402,834004
Fountainebleau,FL,Florida,12086,Miami-Dade,25.7723,-80.346,56453,5508.1,America/New_York,2,33172 33174 33126 33144,411014
Cicero,IL,Illinois,17031,Cook,41.8445,-87.7593,83223,5478.7,America/Chicago,2,60804,586201
Millbourne,PA,Pennsylvania,42045,Delaware,39.9637,-75.2528,1301,5475.3,America/New_York,2,19082,400080
Hawthorne,CA,California,06037,Los Angeles,33.9147,-118.3476,85933,5450.4,America/Los_Angeles,2,90304 90250 90251 90310,560001
Colwyn,PA,Pennsylvania,42045,Delaware,39.9119,-75.253,2683,5315.3,America/New_York,2,19023,560098
Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0852,4355184,5303.2,America/New_York,1,02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02133 02132 02131 02130 02203 02205 02163 02108 02109 02112 02117 02123 02137 02196 02201 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298,760002
Prospect Park,NJ,New Jersey,34031,Passaic,40.938,-74.1736,6286,5216.6,America/New_York,2,07508,500085
Hermosa Beach,CA,California,06037,Los Angeles,33.8653,-118.3962,19248,5212.4,America/Los_Angeles,2,90254,411045
Lynwood,CA,California,06037,Los Angeles,33.924,-118.2016,65291,5207.8,America/Los_Angeles,2,90262,383001
Seven Corners,VA,Virginia,51059,Fairfax,38.8658,-77.1445,9171,5198.4,America/New_York,2,22044 22041,502032
Somerset,MD,Maryland,24031,Montgomery,38.9666,-77.0963,1020,5193.2,America/New_York,2,20815,248001
Daly City,CA,California,06081,San Mateo,37.6862,-122.4685,102560,5176.6,America/Los_Angeles,2,94015 94014 94016 94017,700078
Port Chester,NY,New York,36119,Westchester,41.0051,-73.668,31162,5167.9,America/New_York,2,10573,636705
Alum Rock,CA,California,06085,Santa Clara,37.3694,-121.8238,11619,5162.8,America/Los_Angeles,2,95127,248005
Hamtramck,MI,Michigan,26163,Wayne,42.3954,-83.0559,27830,5141.7,America/Detroit,2,48211 48212,303905
Midway City,CA,California,06059,Orange,33.7452,-117.9849,8094,5127.5,America/Los_Angeles,2,92655,390019
Loch Arbour,NJ,New Jersey,34025,Monmouth,40.2323,-74.0013,199,5107.2,America/New_York,2,07711,680506
East Bakersfield,CA,California,06029,Kern,35.3832,-118.9743,10377,5090.2,America/Los_Angeles,2,93305,800026
Bell,CA,California,06037,Los Angeles,33.9801,-118.1798,32830,5053.1,America/Los_Angeles,2,90201,600028
Malden,MA,Massachusetts,25017,Middlesex,42.4305,-71.0576,65509,5013.9,America/New_York,2,02148,390018
Mount Rainier,MD,Maryland,24033,Prince George's,38.9423,-76.9645,8235,4990.8,America/New_York,2,20712,390003
Ewa Beach,HI,Hawaii,15003,Honolulu,21.3181,-158.0073,15388,4987.5,Pacific/Honolulu,2,96706 96709,411046
North Bay Village,FL,Florida,12086,Miami-Dade,25.8487,-80.1535,8004,4987.1,America/New_York,2,33141,180011
South Monrovia Island,CA,California,06037,Los Angeles,34.1234,-117.9958,7072,4982,America/Los_Angeles,2,91016 91010,560026
Willowbrook,CA,California,06037,Los Angeles,33.9209,-118.2356,21642,4981.9,America/Los_Angeles,2,90059 90222,110036
Kendall West,FL,Florida,12086,Miami-Dade,25.7065,-80.4388,35492,4979.8,America/New_York,2,33193 33185,125039
East Newark,NJ,New Jersey,34017,Hudson,40.751,-74.1623,2529,4976.2,America/New_York,2,07029,380051
Stone Park,IL,Illinois,17031,Cook,41.9033,-87.8805,4504,4974.3,America/Chicago,2,60165,421502
Watsessing,NJ,New Jersey,34013,Essex,40.7866,-74.2007,7944,4957.4,America/New_York,2,07003,474005
South Floral Park,NY,New York,36059,Nassau,40.7135,-73.7004,1803,4954.9,America/New_York,2,11001,110078
Lawrence,MA,Massachusetts,25009,Essex,42.7002,-71.1626,88297,4919.6,America/New_York,2,01843 01840 01841 01842,124001
Woodlynne,NJ,New Jersey,34007,Camden,39.9167,-75.0957,2899,4914.8,America/New_York,2,08107,700156
Newark,NJ,New Jersey,34013,Essex,40.7245,-74.1725,307188,4912.5,America/New_York,2,07103 07102 07105 07104 07107 07106 07108 07112 07114 07101 07175 07188 07191 07192 07193 07195 07198 07199,110034
South Gate,CA,California,06037,Los Angeles,33.9447,-118.1926,91836,4899.4,America/Los_Angeles,2,90280,500054
Darby,PA,Pennsylvania,42045,Delaware,39.921,-75.261,10664,4888.7,America/New_York,2,19023,800002
Bellflower,CA,California,06037,Los Angeles,33.888,-118.1271,77396,4885,America/Los_Angeles,2,90706 90707,505211
Hutchison,VA,Virginia,51059,Fairfax,38.9636,-77.411,6936,4880.8,America/New_York,2,20170,262501
Elmwood Park,IL,Illinois,17031,Cook,41.9225,-87.8163,23982,4852,America/Chicago,2,60707,700057
Ewa Gentry,HI,Hawaii,15003,Honolulu,21.3344,-158.0262,26738,4849.2,Pacific/Honolulu,2,96706,400101
Las Gaviotas,PR,Puerto Rico,72137,Toa Baja,18.4368,-66.1907,526,4811.8,America/Puerto_Rico,2,00949,500053
Villa de Sabana,PR,Puerto Rico,72137,Toa Baja,18.4346,-66.1901,338,4811.8,America/Puerto_Rico,2,00949,563101
Stanton,CA,California,06059,Orange,33.8003,-117.9935,38639,4808.4,America/Los_Angeles,2,92804 90680,147001
Bailey's Crossroads,VA,Virginia,51059,Fairfax,38.8477,-77.1305,25458,4791.7,America/New_York,2,22041 22311,486001
Miami,FL,Florida,12086,Miami-Dade,25.784,-80.2101,6113982,4791.1,America/New_York,1,33128 33129 33125 33126 33127 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33192 33195 33222 33231 33233 33238 33255 33299,783380
Ashland,CA,California,06001,Alameda,37.6942,-122.1159,22784,4774.3,America/Los_Angeles,2,94541 94580 94578,500087
Citrus,CA,California,06037,Los Angeles,34.116,-117.8891,10813,4765.6,America/Los_Angeles,2,91722 91702,560055
Cherryland,CA,California,06001,Alameda,37.6792,-122.1038,14575,4715.6,America/Los_Angeles,2,94541,603002
Country Club,FL,Florida,12086,Miami-Dade,25.9407,-80.3102,51000,4713.6,America/New_York,2,33015 33017,621212
Monsey,NY,New York,36087,Rockland,41.1181,-74.0682,27787,4679.6,America/New_York,2,10952 10977,174001
San Pablo,CA,California,06013,Contra Costa,37.9629,-122.3426,31771,4674.2,America/Los_Angeles,2,94806,600099
Bayonne,NJ,New Jersey,34017,Hudson,40.6668,-74.1158,70468,4673.7,America/New_York,2,07002,221010
Bogota,NJ,New Jersey,34003,Bergen,40.8751,-74.0293,9110,4661.1,America/New_York,2,07603,560036
New Hyde Park,NY,New York,36059,Nassau,40.7323,-73.6858,10208,4649.1,America/New_York,2,11040,641035
Rouse,CA,California,06099,Stanislaus,37.6196,-121.0084,1205,4636.1,America/Los_Angeles,2,95351,497449
Williston Park,NY,New York,36059,Nassau,40.7587,-73.6465,7508,4628.9,America/New_York,2,11596,276302
Wallington,NJ,New Jersey,34003,Bergen,40.8536,-74.1069,11825,4592.9,America/New_York,2,07057,421306
Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8489066,4590.3,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60661 60660 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,110016
West Puente Valley,CA,California,06037,Los Angeles,34.0513,-117.9681,22198,4584.5,America/Los_Angeles,2,91746 91744,781026
Perth Amboy,NJ,New Jersey,34023,Middlesex,40.5202,-74.2724,55278,4578,America/New_York,2,08861 08862,570008
Trenton,NJ,New Jersey,34021,Mercer,40.2237,-74.7641,362501,4566.7,America/New_York,2,08638 08611 08618 08629 08609 08608 08601 08603 08604 08605 08607 08625 08645 08646 08647 08666 08695,225001
East Riverdale,MD,Maryland,24033,Prince George's,38.96,-76.9109,19043,4555.1,America/New_York,2,20781 20737,275301
Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,5696588,4548.5,America/New_York,1,19154 19151 19150 19153 19152 19102 19103 19106 19107 19104 19108 19109 19128 19129 19120 19121 19122 19123 19124 19125 19126 19127 19112 19111 19115 19114 19116 19119 19118 19148 19149 19146 19147 19144 19145 19142 19143 19140 19141 19139 19138 19137 19136 19135 19134 19133 19132 19131 19130 19019 19092 19093 19101 19105 19110 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255,520010
Montalvin Manor,CA,California,06013,Contra Costa,37.9977,-122.33,2080,4537.5,America/Los_Angeles,2,94806,493331
Huntington,VA,Virginia,51059,Fairfax,38.7916,-77.074,13250,4530.1,America/New_York,2,22303,248142
Key Biscayne,FL,Florida,12086,Miami-Dade,25.6908,-80.1653,14560,4507.2,America/New_York,2,33149,560048
SUNY Oswego,NY,New York,36075,Oswego,43.4515,-76.5439,3565,4503.3,America/New_York,2,13126,682021
South San Jose Hills,CA,California,06037,Los Angeles,34.0123,-117.9043,17451,4499,America/Los_Angeles,2,91744,752002
Inglewood,CA,California,06037,Los Angeles,33.9566,-118.3444,105575,4495.6,America/Los_Angeles,2,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312,762010
Yonkers,NY,New York,36119,Westchester,40.9466,-73.8673,209529,4493,America/New_York,2,10708 10703 10701 10707 10705 10704 10710 10702,803115
Tuckahoe,NY,New York,36119,Westchester,40.9531,-73.823,6990,4490.5,America/New_York,2,10707,500075
Hebron,TX,Texas,48121,Denton,33.0337,-96.8759,245,4487.9,America/Chicago,2,75093 75056 75010,683513
Valley Stream,NY,New York,36059,Nassau,40.6647,-73.7043,40278,4471.6,America/New_York,2,11580 11581 11582,272001
East Palo Alto,CA,California,06081,San Mateo,37.4671,-122.1352,29143,4451.1,America/Los_Angeles,2,94303,632513
Berkeley,CA,California,06001,Alameda,37.8722,-122.276,120223,4449.7,America/Los_Angeles,2,94708 94707 94705 94704 94703 94702 94709 94710 94720 94701 94712,560029
Lodi,NJ,New Jersey,34003,Bergen,40.8784,-74.0814,25946,4408.8,America/New_York,2,07644,123027
Roselle Park,NJ,New Jersey,34039,Union,40.6653,-74.2666,13965,4403.3,America/New_York,2,07204,110019
Mineola,NY,New York,36059,Nassau,40.747,-73.6394,21082,4397.2,America/New_York,2,11501,122002
Santa Ana,CA,California,06059,Orange,33.7367,-117.8819,311639,4395.2,America/Los_Angeles,2,92707 92701 92703 92705 92704 92706 92702 92735 92799,560022
Oak Park,IL,Illinois,17031,Cook,41.8872,-87.7899,53315,4380,America/Chicago,2,60301 60302 60304 60303,400069
Cameron Park,TX,Texas,48061,Cameron,25.9706,-97.4775,6180,4374.7,America/Chicago,2,78526,246722
Floral Park,NY,New York,36059,Nassau,40.7227,-73.7029,16025,4354.3,America/New_York,2,11001 11002,400078
Redondo Beach,CA,California,06037,Los Angeles,33.8577,-118.3765,69814,4349.2,America/Los_Angeles,2,90278 90277,211001
El Monte,CA,California,06037,Los Angeles,34.0739,-118.0291,107066,4325.4,America/Los_Angeles,2,91731 91733 91732 91734 91735,401202
Contra Costa Centre,CA,California,06013,Contra Costa,37.926,-122.054,7127,4321.9,America/Los_Angeles,2,94597 94598,560087
Island Park,NY,New York,36059,Nassau,40.6051,-73.6553,4958,4304.4,America/New_York,2,11558,246701
North Fair Oaks,CA,California,06081,San Mateo,37.4754,-122.2034,13327,4302.3,America/Los_Angeles,2,94025 94063,500090
Paramount,CA,California,06037,Los Angeles,33.8977,-118.1651,52546,4292.7,America/Los_Angeles,2,90723,560075
Roosevelt,NY,New York,36059,Nassau,40.6797,-73.5837,19636,4282.7,America/New_York,2,11575,575001
Albany,CA,California,06001,Alameda,37.8897,-122.3018,19768,4264,America/Los_Angeles,2,94706,500034
Elizabeth,NJ,New Jersey,34039,Union,40.6658,-74.1913,135887,4259.1,America/New_York,2,07208 07202 07201 07206 07207,700059
Del Aire,CA,California,06037,Los Angeles,33.9167,-118.3693,11115,4256.1,America/Los_Angeles,2,90304 90250,400016
Mount Oliver,PA,Pennsylvania,42003,Allegheny,40.4113,-79.9856,3347,4251.8,America/New_York,2,15210,244302
Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5146120,4245.2,America/New_York,1,20250 20010 20011 20012 20015 20520 20418 20415 20020 20024 20510 20515 20427 20422 20530 20542 20540 20240 20245 20204 20005 20004 20003 20002 20001 20009 20008 20317 20319 20390 20059 20057 20052 20388 20017 20018 20565 20566 20560 20591 20220 20064 20551 20230 20373 20260 20007 20006 20032 20036 20037 20431 20045 20408 20535 20016 20019 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20053 20055 20056 20058 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20202 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20221 20222 20223 20224 20226 20227 20228 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20405 20406 20407 20410 20411 20412 20413 20414 20416 20417 20419 20420 20421 20423 20424 20425 20426 20428 20429 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20506 20507 20508 20509 20511 20521 20522 20523 20524 20525 20526 20527 20528 20529 20531 20533 20534 20536 20537 20538 20539 20541 20543 20544 20546 20547 20548 20549 20552 20553 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,441002
McNair,VA,Virginia,51059,Fairfax,38.9513,-77.4115,22451,4245.1,America/New_York,2,20171,607202
Hackensack,NJ,New Jersey,34003,Bergen,40.8891,-74.0462,45768,4216.2,America/New_York,2,07601 07602,416410
Santa Monica,CA,California,06037,Los Angeles,34.0235,-118.481,91535,4202.9,America/Los_Angeles,2,90401 90402 90403 90404 90405 90406 90407 90408 90409 90410 90411,570016
Cedarhurst,NY,New York,36059,Nassau,40.6252,-73.7278,7306,4180.3,America/New_York,2,11516,393002
Clifton Heights,PA,Pennsylvania,42045,Delaware,39.9301,-75.2958,6821,4178.1,America/New_York,2,19018,600117
East San Gabriel,CA,California,06037,Los Angeles,34.1157,-118.0791,23521,4170.8,America/Los_Angeles,2,91775 91776,201009
La Puente,CA,California,06037,Los Angeles,34.0323,-117.9533,37404,4151.7,America/Los_Angeles,2,91746 91744 91747 91749,180007
Parcelas de Navarro,PR,Puerto Rico,72063,Gurabo,18.2301,-66.0043,2192,4148.7,America/Puerto_Rico,2,00778,791113
Valinda,CA,California,06037,Los Angeles,34.04,-117.93,21626,4148.4,America/Los_Angeles,2,91744,700075
Harwood Heights,IL,Illinois,17031,Cook,41.9663,-87.8057,8851,4143.2,America/Chicago,2,60706,444105
Elmont,NY,New York,36059,Nassau,40.7033,-73.7078,36436,4125.9,America/New_York,2,11003,312620
Dormont,PA,Pennsylvania,42003,Allegheny,40.3941,-80.0377,8120,4123.1,America/New_York,2,15216,795010
Alhambra,CA,California,06037,Los Angeles,34.084,-118.1355,81483,4122.7,America/Los_Angeles,2,91803 91801 91802 91804 91896 91899,700064
Lomita,CA,California,06037,Los Angeles,33.7933,-118.3175,20409,4120.8,America/Los_Angeles,2,90717,560064
Baldwin Park,CA,California,06037,Los Angeles,34.0829,-117.9722,70720,4117.1,America/Los_Angeles,2,91706,380015
Asbury Park,NJ,New Jersey,34025,Monmouth,40.2226,-74.0119,15239,4115.2,America/New_York,2,07712,620001
New Brunswick,NJ,New Jersey,34023,Middlesex,40.487,-74.445,55744,4113.1,America/New_York,2,08901 08875 08906 08933,752054
Franklin Square,NY,New York,36059,Nassau,40.7002,-73.6775,30559,4097,America/New_York,2,11010,202001
Miami Beach,FL,Florida,12086,Miami-Dade,25.8171,-80.1396,81319,4081.5,America/New_York,2,33140 33141 33139 33109 33119 33239,682006
Kenmore,NY,New York,36029,Erie,42.9646,-78.8713,15097,4059.7,America/New_York,2,14217,201014
