order_id,order_date,ship_date,status,sales_channel,ship_mode,product_uin,shipment_status,qty,local currency,ship_postal_code,emp_code,customer_id,Currency
402-4947491-8878759,5/14/2025,05/18/2022 07:08:37 PM,Shipped,Partner Sale,Express 3,B09SDXSQ33,Shipped,1,63348.87,636005,E-464,TB-21280,22
403-6819202-1996354,5/14/2025,05/27/2022 05:02:39 PM,Shipped,Partner Sale,Economy 10,B0922T745K,Shipped,1,13474.68,192306,E-057,BN-11470,15
402-6435151-1165900,5/14/2025,05/27/2022 12:36:32 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B08N4H7B3Y,Shipped,1,34341.64,122505,E-569,AA-10645,3
404-9520569-2182711,5/14/2025,05/20/2022 06:06:02 PM,Shipped,Partner Sale,Economy 10,B07T62PKNM,Shipped,1,4637.63,500010,E-182,JS-16030,4
402-7813258-0580314,5/14/2025,05/18/2022 02:34:06 PM,Shipped,Partner Sale,Standard 7,B09YNY91G5,Shipped,1,23234.65,244701,E-153,AF-10870,4
403-0114875-2645908,5/14/2025,05/20/2022 10:03:12 AM,Shipped,Partner Sale,Standard 7,B08YZ1Z5XS,Shipped,1,5021.21,110017,E-157,MH-17440,9
404-2450723-0093917,5/14/2025,05/20/2022 06:34:30 PM,Shipped,Partner Sale,Economy 10,B07MY36NVG,Shipped,1,32566.34,560081,E-560,CS-12130,8
403-9637541-0857942,5/14/2025,05/17/2022 02:15:15 PM,Shipped,Partner Sale,Express 3,B09B2BB99M,Shipped,1,5056.06,695584,E-049,SK-19990,4
407-7787880-9383551,5/14/2025,05/19/2022 05:13:46 PM,Shipped,Partner Sale,Same Day 0,B082W8M4CZ,Shipped,1,5754.70,411033,E-277,RA-19285,23
408-2395367-1284353,5/14/2025,05/18/2022 04:25:17 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B08RP2Y81T,Shipped,1,9786.87,560054,E-137,TS-21505,15
404-6601552-3693955,5/14/2025,05/17/2022 02:24:49 PM,Shipped,Partner Sale,Same Day 0,B0894XKVH3,Shipped,1,32922.56,474001,E-244,AY-10555,3
408-0836468-8455505,5/14/2025,05/19/2022 01:57:51 PM,Shipped,Partner Sale,Economy 10,B09QJ4FRW9,Shipped,1,805695.75,411036,E-173,NC-18340,16
408-0359425-3376326,5/14/2025,05/18/2022 01:50:58 PM,Shipped - Picked Up,Partner Sale,Same Day 0,B099NJKJ54,Shipped,1,49041.51,560066,E-238,SV-20935,22
402-6417327-3475525,5/14/2025,05/27/2022 06:29:59 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B09K3ZKHMW,Shipped,1,24996.57,700102,E-562,BT-11680,8
406-6479804-9784346,5/14/2025,05/18/2022 01:21:49 PM,Shipped,Partner Sale,Standard 7,B08QGMZQ2B,Shipped,1,1401385.73,143531,E-178,XP-21865,18
403-0728400-8998759,5/14/2025,05/27/2022 06:54:51 PM,Pending,Partner Sale,Economy 10,B0894YTN3H,Unshipped,1,7845.64,636006,E-074,LS-16975,9
171-4982897-7197935,5/14/2025,05/20/2022 06:50:26 PM,Shipped,Partner Sale,Economy 10,B081X8C7PK,Shipped,1,2527.69,307510,E-174,DM-13525,10
404-1014737-3325139,5/14/2025,05/17/2022 06:28:25 PM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B09B2BWFFK,Shipped,1,47782.04,110063,E-111,AB-10015,20
404-8237232-0784314,5/14/2025,05/18/2022 04:45:05 PM,Shipped,Partner Sale,Economy 10,B08BFV1DVW,Shipped,1,617112.46,560100,E-047,LL-16840,18
402-4565165-2481169,5/14/2025,05/27/2022 11:34:23 AM,Shipped,Partner Sale,Economy 10,B0822T2BM8,Shipped,1,11169.22,600021,E-298,AG-10330,23
405-6848867-8439532,5/14/2025,05/18/2022 05:48:19 PM,Shipped - Picked Up,Partner Sale,Same Day 0,B08N4RLSR9,Shipped,1,79976184.63,400101,E-561,EJ-13720,14
405-7235806-7921138,5/14/2025,05/18/2022 05:29:06 PM,Shipped,Partner Sale,Standard 7,B081WZ4T3V,Shipped,1,501482.43,741302,E-205,MG-17695,18
406-1473140-7914743,5/14/2025,05/20/2022 03:02:06 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B0982Z1994,Shipped,1,40517.32,400080,E-057,KB-16600,8
408-8305539-8607522,5/14/2025,05/18/2022 09:21:26 AM,Shipped,Partner Sale,Same Day 0,B09LD2KSXR,Shipped,1,6962.24,614904,E-164,CS-12400,10
171-8699761-5081967,5/14/2025,05/16/2022 05:12:26 PM,Shipped,Partner Sale,Express 3,B081X4KQ14,Shipped,1,501482.43,500090,E-352,LT-16765,18
407-3061417-7297169,5/14/2025,05/20/2022 12:36:08 PM,Shipped,Partner Sale,Economy 10,B08MXBX2NJ,Shipped,1,13380646.01,813221,E-299,RP-19855,19
402-8391893-7096301,5/14/2025,05/18/2022 09:13:37 AM,Shipped,Partner Sale,Same Day 0,B085HM8VTK,Shipped,1,363626.11,600001,E-347,KN-16450,16
171-9287801-4438729,5/14/2025,05/19/2022 06:31:09 PM,Shipped,Partner Sale,Economy 10,B07MY33NWD,Shipped,1,4406.04,121003,E-006,JG-15310,5
405-5235750-5770755,5/14/2025,05/16/2022 02:54:28 PM,Shipped,Partner Sale,Express 3,B08ZHKRV5F,Shipped,1,2466.81,721429,E-077,JH-15910,9
406-7573784-6691567,5/14/2025,05/17/2022 04:56:01 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B09KXVG37D,Shipped,1,150648.35,835217,E-205,CR-12625,20
402-3748796-7403511,5/14/2025,05/19/2022 10:07:39 AM,Shipped,Partner Sale,Same Day 0,B09RKCMWVM,Shipped,1,535979.95,700064,E-243,SK-19990,17
402-9668108-0010725,5/14/2025,05/16/2022 05:37:31 PM,Shipped,Partner Sale,Express 3,B08XVQM1LP,Shipped,1,13815.10,530002,E-199,RS-19870,15
402-0157280-6223541,5/14/2025,05/20/2022 01:55:29 PM,Shipped,Partner Sale,Standard 7,B099NR7612,Shipped,1,11211.75,560032,E-049,ME-17320,23
408-4785056-5772362,5/14/2025,05/20/2022 10:31:28 AM,Shipped,Partner Sale,Economy 10,B099NJ4XRB,Shipped,1,0.00,400007,E-191,DW-13585,2
405-1993354-3242733,5/14/2025,05/20/2022 09:04:24 AM,Shipped,Partner Sale,Economy 10,B099FB3WLM,Shipped,1,378311.31,410206,E-251,TC-21535,18
404-0145904-8103558,5/14/2025,05/20/2022 07:01:24 PM,Shipped - Delivered to Buyer,Partner Sale,Standard 7,B09NQ44RNV,Shipped,1,21369.68,560062,E-110,TS-21505,21
171-7336894-3354728,5/14/2025,05/20/2022 06:03:53 PM,Shipped - Delivered to Buyer,Partner Sale,Standard 7,B07K3VQMML,Shipped,1,64555.52,122001,E-277,RD-19720,22
402-5530169-6441167,5/14/2025,05/20/2022 02:03:40 PM,Shipped,Partner Sale,Standard 7,B07GRSF1FC,Shipped,1,5329.48,495006,E-067,RA-19915,23
408-0927536-0609934,5/14/2025,05/17/2022 03:32:46 PM,Shipped,Partner Sale,Same Day 0,B09LD3655Z,Shipped,1,585027.48,201009,E-012,RF-19345,16
403-5974733-7866725,5/14/2025,05/19/2022 02:37:17 PM,Shipped,Partner Sale,Economy 10,B0983F1V7R,Shipped,1,11115.26,560024,E-344,JW-15955,9
402-5385684-9738718,5/14/2025,05/19/2022 10:12:15 AM,Shipped,Partner Sale,Express 3,B099NSQP4Z,Shipped,1,118105.76,641001,E-176,RD-19720,20
405-1883982-9010712,5/14/2025,05/21/2022 11:43:28 AM,Shipped,Partner Sale,Express 3,B07R41RZV7,Shipped,1,61052631.44,682019,E-560,AT-10435,14
171-7198078-8805907,5/14/2025,05/20/2022 03:08:36 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B09KXV8PXG,Shipped,1,7612518.54,400077,E-166,AA-10375,19
408-3055947-5035508,5/14/2025,05/19/2022 09:52:03 AM,Shipped,Partner Sale,Express 3,B09811QMHB,Shipped,1,541701.57,560005,E-347,EP-13915,18
171-0233452-2125118,5/14/2025,05/18/2022 04:31:02 PM,Shipped,Partner Sale,Economy 10,B098314S8L,Shipped,1,856280.83,110017,E-235,TS-21370,16
406-9831349-0549119,5/14/2025,05/18/2022 12:59:11 PM,Shipped,Partner Sale,Standard 7,B09KXWMDXX,Shipped,1,12800.08,421303,E-194,GH-14665,2
171-2900268-3169102,5/14/2025,05/20/2022 01:11:37 PM,Shipped,Partner Sale,Economy 10,B07K32X6RR,Shipped,1,7961.85,380051,E-338,AT-10435,4
406-0579441-9073118,5/14/2025,05/20/2022 01:21:21 PM,Shipped - Delivered to Buyer,Partner Sale,Standard 7,B0828PD16L,Shipped,1,6676.02,143531,E-182,MW-18235,23
171-5515279-4859524,5/14/2025,05/19/2022 03:11:43 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B09K3W31J3,Shipped,1,4052961.26,600099,E-280,DS-13180,19
406-6705066-0016329,5/14/2025,05/16/2022 10:49:01 AM,Shipped,Partner Sale,Express 3,B07R52578F,Shipped,1,6264.97,522411,E-201,KE-16420,23
402-2352188-4577942,5/14/2025,05/18/2022 09:19:09 AM,Shipped - Delivered to Buyer,Partner Sale,Standard 7,B09SDY4VDC,Shipped,1,46828.18,500016,E-573,PC-19000,6
403-0549948-4901159,5/14/2025,05/19/2022 09:54:40 AM,Shipped,Partner Sale,Same Day 0,B0982ZDZ8K,Shipped,1,609586.48,560008,E-279,CA-12265,17
402-6696532-9158712,5/14/2025,05/27/2022 07:30:29 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B097ZZLC2X,Shipped,1,81118.34,531116,E-086,AS-10225,20
408-6214708-0969945,5/14/2025,05/18/2022 12:20:03 PM,Shipped,Partner Sale,Express 3,B09RKF8T2M,Shipped,1,35334.99,110072,E-019,BT-11395,3
405-1790637-1327511,5/14/2025,05/19/2022 09:39:41 AM,Shipped,Partner Sale,Express 3,B09M74QTKT,Shipped,1,4969.11,517507,E-053,GP-14740,2
404-7983493-0042758,5/14/2025,05/20/2022 10:40:04 AM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B09SDXFFQ1,Shipped,1,5364.23,248001,E-159,RH-19600,9
403-4060948-1381926,5/14/2025,05/19/2022 06:33:12 PM,Shipped - Picked Up,Partner Sale,Express 3,B082W7MZVQ,Shipped,1,4417140.39,700104,E-161,SM-20950,19
402-9478794-1275521,5/14/2025,05/27/2022 09:30:01 AM,Shipped,Partner Sale,Economy 10,B09KXVG37D,Shipped,1,51747.88,600023,E-463,BP-11185,6
403-3461746-7018751,5/14/2025,05/20/2022 03:51:46 PM,Shipped,Partner Sale,Economy 10,B099S89CXL,Shipped,1,91119.23,520008,E-016,AG-10525,20
402-0929654-0828352,5/14/2025,05/18/2022 02:22:56 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B09B2F5N2H,Shipped,1,22137.58,678004,E-482,NC-18340,3
407-4626631-6735557,5/14/2025,05/17/2022 02:13:33 PM,Shipped,Partner Sale,Same Day 0,B07X3KSDT3,Shipped,1,8176408.80,834002,E-192,FP-14320,19
408-2519158-1057169,5/14/2025,05/17/2022 05:16:52 PM,Shipped,Partner Sale,Same Day 0,B09SDZ13F9,Shipped,1,890535.35,400067,E-554,AI-10855,17
171-6013959-4937945,5/14/2025,05/20/2022 09:07:03 AM,Shipped,Partner Sale,Economy 10,B09KXSQGNK,Shipped,1,152745.49,670006,E-294,MS-17365,7
405-4173762-4393134,5/14/2025,05/20/2022 06:22:25 PM,Shipped,Partner Sale,Economy 10,B09K39CKVP,Shipped,1,19914.16,620026,E-146,LL-16840,15
407-8578076-7789961,5/14/2025,05/19/2022 04:27:04 PM,Shipped,Partner Sale,Express 3,B09CTFCW94,Shipped,1,1070923.18,160055,E-462,TD-20995,17
408-5627179-8514711,5/14/2025,05/20/2022 05:57:41 PM,Shipped,Partner Sale,Standard 7,B09872TQWK,Shipped,1,3902.88,695523,E-192,MC-17575,5
405-2718348-7929107,5/14/2025,05/19/2022 02:25:03 PM,Shipped,Partner Sale,Economy 10,B09SDY4VDC,Shipped,1,138223.91,400067,E-234,DN-13690,7
405-9530553-8097129,5/14/2025,05/20/2022 05:56:01 PM,Shipped,Partner Sale,Standard 7,B09SDZ64HF,Shipped,1,2128800.36,414003,E-247,TC-20980,13
404-4067393-6092318,5/14/2025,05/19/2022 10:52:15 AM,Shipped,Partner Sale,Express 3,B09SDY9SQ6,Shipped,1,101524172.20,110085,E-358,NM-18520,14
171-5743720-8133925,5/14/2025,05/21/2022 07:13:50 PM,Shipped,Partner Sale,Express 3,B08N44JLV7,Shipped,1,5510.16,504302,E-187,DC-12850,2
405-7959534-9465908,5/14/2025,05/18/2022 11:57:45 AM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B09SDYGHX3,Shipped,1,48196.00,412101,E-166,HG-15025,8
404-6463781-9188311,5/14/2025,05/20/2022 06:39:36 PM,Shipped,Partner Sale,Standard 7,B098P4234P,Shipped,1,5011.04,560066,E-073,MC-18130,10
407-4082608-6248304,5/14/2025,05/16/2022 01:08:35 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B09TH53Q68,Shipped,1,120804.42,400002,E-178,LS-16975,20
408-0632274-9753143,5/14/2025,05/19/2022 05:04:33 PM,Shipped,Partner Sale,Economy 10,B08KRXTFXH,Shipped,1,2712.98,691003,E-460,FM-14215,5
402-5787329-2190764,5/14/2025,05/16/2022 07:00:25 PM,Shipped,Partner Sale,Express 3,B081WZ4T3V,Shipped,1,18873.71,208027,E-475,DB-13060,3
404-3716880-4761114,5/14/2025,05/17/2022 03:43:20 PM,Shipped,Partner Sale,Same Day 0,B091YN9T96,Shipped,1,2196.78,560025,E-459,BS-11380,9
402-5202411-3101921,5/14/2025,05/19/2022 12:18:53 PM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B09SDYQ3WG,Shipped,1,4861.60,392015,E-479,CS-12250,5
406-0378769-9304345,5/14/2025,05/19/2022 07:32:24 PM,Shipped,Partner Sale,Same Day 0,B09SDXRYBG,Shipped,1,36470.25,411013,E-278,DL-13315,3
406-2188309-1157124,5/14/2025,05/17/2022 05:49:09 PM,Shipped,Partner Sale,Express 3,B08XQ8MCKP,Shipped,1,9257198.47,110013,E-177,MY-17380,19
171-8016898-8532326,5/14/2025,05/20/2022 07:25:33 PM,Shipped,Partner Sale,Economy 10,B099NWNGVK,Shipped,1,9310.13,400026,E-002,CD-12280,4
408-9881949-8857119,5/14/2025,05/18/2022 07:22:02 PM,Shipped,Partner Sale,Standard 7,B098136DNF,Shipped,1,356294.93,424001,E-053,GP-14740,16
406-0055565-9688303,5/14/2025,05/27/2022 01:18:11 PM,Shipped,Partner Sale,Economy 10,B09SDXVHGN,Shipped,1,398082.61,110011,E-188,VP-21730,16
406-6384723-9015556,5/14/2025,05/17/2022 09:18:56 AM,Shipped,Partner Sale,Express 3,B08L3QH8PP,Shipped,1,4493.20,500075,E-273,MW-18220,23
408-1868675-4462739,5/14/2025,05/17/2022 11:58:49 AM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B09NQ44RNV,Shipped,1,437670.94,560061,E-177,DN-13690,16
403-1161438-1857140,5/14/2025,05/18/2022 05:49:42 PM,Shipped,Partner Sale,Express 3,B082W84Q2J,Shipped,1,28889.59,582208,E-205,SG-20080,11
403-8672202-7963565,5/14/2025,05/18/2022 12:52:02 PM,Shipped,Partner Sale,Express 3,B08ZYPQ3XV,Shipped,1,26921.00,401303,E-075,TB-21595,15
408-3137526-3167563,5/14/2025,05/20/2022 06:54:29 PM,Shipped,Partner Sale,Economy 10,B081WSCKPQ,Shipped,1,0.00,734101,E-339,SC-20050,14
406-6017474-2610700,5/14/2025,05/18/2022 11:01:31 AM,Shipped,Partner Sale,Same Day 0,B07R5X9WJB,Shipped,1,5192489.50,534201,E-163,SH-20395,19
408-5982361-9059536,5/14/2025,05/18/2022 04:54:11 PM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B09RK67Y51,Shipped,1,1254334.49,631604,E-272,KM-16225,18
405-7981660-0449152,5/14/2025,05/19/2022 12:28:53 PM,Shipped,Partner Sale,Same Day 0,B081WVMMCY,Shipped,1,28889.59,207123,E-075,RH-19600,11
406-0760459-6333953,5/14/2025,05/17/2022 06:23:20 PM,Shipped,Partner Sale,Express 3,B09RMQ4JMW,Shipped,1,721430.86,560075,E-481,RR-19315,18
407-5544746-9858758,5/14/2025,05/19/2022 03:09:10 PM,Shipped,Partner Sale,Same Day 0,B09SDY51NS,Shipped,1,138223.91,560087,E-006,BT-11485,7
404-3007928-7065146,5/14/2025,05/19/2022 07:25:14 PM,Shipped,Partner Sale,Economy 10,B091T1N5WV,Shipped,1,995423.77,636808,E-187,CC-12430,18
171-2668600-8253956,5/14/2025,05/19/2022 02:02:09 PM,Shipped,Partner Sale,Express 3,B099NQLDSS,Shipped,1,556714.18,721305,E-085,CC-12370,17
406-6334395-4235568,5/14/2025,05/19/2022 09:47:59 AM,Shipped,Partner Sale,Express 3,B0983DYB2T,Shipped,1,83185.34,516002,E-340,VS-21820,7
403-7851829-7705100,5/14/2025,05/18/2022 10:16:42 AM,Shipped,Partner Sale,Same Day 0,B08BJS1LPN,Shipped,1,78456775.25,211001,E-010,KA-16525,14
404-5676899-4065131,5/14/2025,05/18/2022 11:10:10 AM,Shipped,Partner Sale,Economy 10,B07R41S1YG,Shipped,1,1300450.83,641006,E-202,HF-14995,13
171-4239195-8757127,5/14/2025,05/20/2022 07:54:41 PM,Shipped,Partner Sale,Economy 10,B091XT968F,Shipped,1,54790.61,574241,E-005,TS-21340,11
171-7208337-0066724,5/14/2025,05/19/2022 03:41:19 PM,Shipped,Partner Sale,Express 3,B09K3LRR2T,Shipped,1,824756.79,560029,E-233,RD-19720,16
171-7465571-4051538,5/14/2025,05/17/2022 01:31:32 PM,Shipped,Partner Sale,Same Day 0,B089B19HGM,Shipped,1,12230.56,400608,E-089,LC-16885,2
404-6896740-7465927,5/14/2025,05/27/2022 09:33:45 AM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B094FL6CTJ,Shipped,1,70799.96,560013,E-264,RP-19390,20
402-9440854-5033113,5/14/2025,05/17/2022 03:11:27 PM,Shipped,Partner Sale,Express 3,B09SDXQ3X9,Shipped,1,48813.45,110048,E-159,ON-18715,11
404-4678462-1784357,5/14/2025,05/19/2022 09:31:52 AM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B08ZHHR63S,Shipped,1,20529.09,560076,E-342,AR-10570,6
407-2430162-4671509,5/14/2025,05/21/2022 02:57:50 PM,Shipped,Partner Sale,Express 3,B099NWNGVK,Shipped,1,11521.00,110076,E-065,LC-17140,1
405-8087383-4413905,5/14/2025,05/19/2022 10:09:46 AM,Shipped,Partner Sale,Express 3,B081X4S826,Shipped,1,21729.04,370001,E-094,JB-16000,8
404-2997833-2192301,5/14/2025,05/18/2022 04:44:40 PM,Shipped,Partner Sale,Economy 10,B08XQ98B2Q,Shipped,1,42259.89,600015,E-153,LH-16900,12
171-5430213-1149123,5/14/2025,05/19/2022 03:16:33 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B08BJQ4CN7,Shipped,1,3032.55,516356,E-073,MH-18115,5
405-5226180-2619537,5/14/2025,05/21/2022 09:54:20 AM,Shipped,Partner Sale,Express 3,B09PBXT93F,Shipped,1,3959.42,400025,E-257,AH-10690,10
402-8492872-8820368,5/14/2025,05/18/2022 11:46:20 AM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B08XNDL1DL,Shipped,1,184619.63,400022,E-081,YS-21880,20
171-7123776-1321138,5/14/2025,05/18/2022 06:37:00 PM,Shipped - Delivered to Buyer,Partner Sale,Standard 7,B08N4H7B3Y,Shipped,1,62573.17,145023,E-333,JS-15940,22
402-2276792-8819531,5/14/2025,05/18/2022 05:52:11 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B08YYZM8WL,Shipped,1,5799.94,560068,E-243,JL-15175,4
407-1659891-1465903,5/14/2025,05/19/2022 07:24:51 PM,Shipped,Partner Sale,Express 3,B0983CP5WT,Shipped,1,5509.37,271308,E-145,DW-13480,4
407-1469933-7933104,5/14/2025,05/20/2022 12:33:15 PM,Shipped,Partner Sale,Economy 10,B09KXRLH3S,Shipped,1,1006735.40,500056,E-044,RS-19870,18
408-6949888-8176328,5/14/2025,05/17/2022 10:06:33 AM,Shipped,Partner Sale,Express 3,B09RMXRBNW,Shipped,1,28334.21,723143,E-199,JL-15175,3
404-5329544-2481926,5/14/2025,05/19/2022 03:05:03 PM,Shipped,Partner Sale,Express 3,B08XNDL1DL,Shipped,1,18780.10,110095,E-351,FH-14350,2
403-3149146-2953155,5/14/2025,05/18/2022 10:45:00 AM,Shipped - Delivered to Buyer,Partner Sale,Standard 7,B09RPJD74Z,Shipped,1,67721.69,144001,E-576,JE-16165,6
404-1104088-5817950,5/14/2025,05/19/2022 06:26:49 PM,Shipped - Returned to Seller,Partner Sale,Express 3,B09SDXRYBG,Shipped,1,39417.54,226003,E-329,SJ-20500,12
403-2478441-6390734,5/14/2025,05/18/2022 12:33:04 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B08KS7M7F7,Shipped,1,4741.30,421301,E-475,GP-14740,2
404-7491694-3922701,5/14/2025,05/16/2022 02:21:28 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B098117P6L,Shipped,1,9361.36,500008,E-247,PO-18850,15
403-2941165-7889937,5/14/2025,05/20/2022 02:43:59 PM,Shipped,Partner Sale,Economy 10,B09K3Y42F5,Shipped,1,27011.54,560047,E-009,JF-15415,8
403-0595934-9160302,5/14/2025,05/20/2022 07:47:38 PM,Shipped,Partner Sale,Economy 10,B081WSTXZ9,Shipped,1,1259902.25,711103,E-340,AW-10840,13
404-2152298-1802769,5/14/2025,05/17/2022 01:02:28 PM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B0743FDQ6T,Shipped,1,67408.81,641007,E-278,TC-21535,7
407-5313367-8058726,5/14/2025,05/20/2022 02:12:43 PM,Shipped,Partner Sale,Economy 10,B0894YTN3H,Shipped,1,68814.96,302013,E-066,BF-11170,6
404-7313114-0153147,5/14/2025,05/20/2022 05:02:05 PM,Shipped,Partner Sale,Economy 10,B08ZJ2DBVJ,Shipped,1,15730.87,753015,E-097,LD-16855,6
402-3336298-7846717,5/14/2025,05/20/2022 10:13:53 AM,Shipped,Partner Sale,Standard 7,B09B57QMC1,Shipped,1,524178.76,505498,E-144,RD-19930,16
171-9309636-1085123,5/14/2025,05/20/2022 09:43:48 AM,Shipped - Delivered to Buyer,Partner Sale,Standard 7,B09811GCYY,Shipped,1,5392200.63,742149,E-039,JD-15895,19
403-5686295-0611519,5/14/2025,05/27/2022 04:28:47 PM,Shipped,Partner Sale,Economy 10,B099NQJZPQ,Shipped,1,9652.73,500075,E-203,Co-12640,1
402-4266038-7445108,5/14/2025,05/18/2022 02:19:25 PM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B081WVMMCY,Shipped,1,5176.67,678681,E-259,LS-17230,1
408-4019059-3468365,5/14/2025,05/19/2022 12:24:53 PM,Shipped - Delivered to Buyer,Partner Sale,Same Day 0,B08PCRPSKP,Shipped,1,6933.97,570004,E-111,EJ-13720,2
171-8807415-3796339,5/14/2025,05/19/2022 03:50:00 PM,Shipped,Partner Sale,Same Day 0,B09RKBXN2Q,Shipped,1,28373.01,431605,E-037,JL-15835,8
404-2989629-4461916,5/14/2025,05/20/2022 07:19:18 PM,Shipped,Partner Sale,Economy 10,B08XQBF1G4,Shipped,1,67916.89,400615,E-015,NC-18535,22
407-3067202-9051530,5/14/2025,05/18/2022 09:58:27 AM,Shipped,Partner Sale,Same Day 0,B09811LWPN,Shipped,1,79213.41,800026,E-019,BD-11500,20
405-4230278-0751557,5/14/2025,05/17/2022 07:04:18 PM,Shipped,Partner Sale,Same Day 0,B09SDYQ3WG,Shipped,1,28600.29,410210,E-070,SB-20290,21
404-3043442-4326764,5/14/2025,05/18/2022 07:14:33 PM,Shipped,Partner Sale,Economy 10,B09M6VQ762,Shipped,1,1239701.10,533342,E-294,AS-10225,16
407-2606708-8690765,5/14/2025,05/19/2022 04:29:23 PM,Shipped,Partner Sale,Express 3,B08V1N2D45,Shipped,1,3671.70,700052,E-190,RB-19645,5
408-3201887-0645137,5/14/2025,05/18/2022 09:36:26 AM,Shipped,Partner Sale,Economy 10,B07R5X3499,Shipped,1,55243.02,530032,E-285,EP-13915,20
404-1686883-8885139,5/14/2025,05/18/2022 06:42:26 PM,Shipped,Partner Sale,Same Day 0,B08LGGL7GW,Shipped,1,1048470.38,500028,E-481,TZ-21580,13
402-4408896-0152321,5/14/2025,05/19/2022 06:38:22 PM,Shipped,Partner Sale,Express 3,B09K3FG237,Shipped,1,387818.97,400080,E-264,TC-21535,16
171-6267336-8453105,5/14/2025,05/20/2022 10:54:40 AM,Shipped - Delivered to Buyer,Partner Sale,Economy 10,B0922TGHSL,Shipped,1,14070.41,226006,E-280,RB-19645,15
407-9474696-0528327,5/14/2025,05/21/2022 01:00:30 PM,Shipped - Returned to Seller,Partner Sale,Express 3,B099NNYQ1K,Shipped,1,17735.19,500089,E-104,PS-19045,6
405-5738063-8785953,5/14/2025,05/16/2022 07:34:35 PM,Shipped - Delivered to Buyer,Partner Sale,Express 3,B09VC63Y2N,Shipped,1,156839.37,110092,E-298,AB-10600,20
